County,AirQualityIndex,WaterContamination,MedianIncome,EducationLevel,ChronicIllnessRate
County_1,54.96714153,12.92314629,47862.29888,12.34200998,14.05572341
County_2,48.61735699,17.89677339,49486.27621,12.87963792,24.00624977
County_3,56.47688538,18.28642742,53664.40995,15.49458721,30.052437
County_4,65.23029856,15.98861365,53430.41642,15.22074053,30.46980594
County_5,47.65846625,19.19357144,33978.64506,13.95819681,25.49934529
County_6,47.65863043,22.02025428,37497.39968,14.23465477,36.22849932
County_7,65.79212816,29.43092951,49120.28214,16.55532979,19.32379571
County_8,57.67434729,20.87288906,49110.28761,12.81685722,28.57620515
County_9,45.30525614,21.28775195,49120.38149,15.09419476,31.20295632
County_10,55.42560044,19.62777042,75821.85193,13.5956147,35.14438834
County_11,45.36582307,10.40614392,49567.12409,13.56463759,37.11614878
County_12,45.34270246,19.86743062,54084.52512,16.1975537,18.75357908
County_13,52.41962272,20.30115105,52632.01411,15.6508327,14.65885829
County_14,30.86719755,32.31621056,50211.13001,15.62701927,42.77676822
County_15,32.75082167,19.03819518,42477.84604,16.61095761,33.32314012
County_16,44.37712471,21.50773671,51071.75376,14.04200768,22.51513463
County_17,39.8716888,19.82644115,38817.39828,15.36390594,45.51151976
County_18,53.14247333,14.15660981,43105.45115,13.37946649,31.15674634
County_19,40.91975924,25.71411407,41117.09162,14.6483327,41.79297184
County_20,35.87696299,23.75966516,45654.99312,13.73971389,30.67518481
County_21,64.65648769,23.95515974,63517.26853,14.19399193,50.60747925
County_22,47.742237,15.45306273,30061.87846,15.19031405,47.55340842
County_23,50.67528205,27.01397155,50490.08152,12.36355863,27.51035852
County_24,35.75251814,12.99074469,32098.27303,18.18477455,39.71570951
County_25,44.55617275,22.93428547,41224.54507,11.98796524,36.4537595
County_26,51.1092259,30.95227813,53711.60478,11.57162277,43.68631558
County_27,38.49006423,15.04731837,45514.24015,16.31622175,20.35076539
County_28,53.75698018,17.16851135,36378.04178,15.58332539,36.8605146
County_29,43.9936131,20.49825683,39277.57033,15.24823963,40.58424487
County_30,47.0830625,17.48262173,50436.78199,15.25669102,12.41260514
County_31,43.98293388,12.24668284,39157.06695,13.97550645,18.16741487
County_32,68.52278185,20.34281487,46731.66872,12.20549126,9.607678222
County_33,49.86502775,14.68848143,45364.57472,14.15160912,27.30593166
County_34,39.42289071,22.36796215,39787.19722,12.64567658,37.17542256
County_35,58.22544912,15.40287883,62151.55271,15.95023947,45.02357052
County_36,37.7915635,27.74967203,50071.35218,13.70588524,30.7409478
County_37,52.08863595,16.08373354,28798.85931,12.34900561,46.28615546
County_38,30.40329876,18.38969242,46491.63452,13.35722832,16.19898542
County_39,36.71813951,24.06758609,39705.70828,14.82586291,12.96617561
County_40,51.96861236,13.84567842,51819.46668,12.87255089,29.44452301
County_41,57.3846658,21.13729967,38659.83409,12.35555921,33.84065449
County_42,51.71368281,26.53571377,44082.10847,14.48737442,29.67305252
County_43,48.84351718,11.96258383,49039.89823,14.48993314,9.325579
County_44,46.98896304,20.92316929,51926.04155,12.98611365,29.1087996
County_45,35.2147801,21.29941397,35397.62874,13.05792339,16.95530499
County_46,42.80155792,23.90911436,42323.99011,14.46409987,36.69672549
